Area,Price,Type,Size
Amrutahalli,75.0 Lac,3 BHK Flat for sale in Amrutahalli,1400 sqft
Horamavu,1.0 Cr,3 BHK Flat for sale in Horamavu,1609 sqft
Vinayaka Layout-Hebbal Kempapura,85.0 Lac,2 BHK 1244 Sq-ft Flat/Apartment for Sale in Vinayaka Layout-Hebbal Kempapura,871 sqft
Uttarahalli,52.0 Lac,2 BHK Flat for sale in Uttarahalli,800 sqft
Gollahalli-Electronic City,64.0 Lac,2 BHK 1175 Sq-ft Flat/Apartment for Sale in Gollahalli-Electronic City,1175 sqft
Thanisandra Main Road,70.0 Lac,3 BHK Flat for sale in Thanisandra Main Road,1200 sqft
Electronic City,75.0 Lac,3 BHK Flat for sale in Electronic City,1498 sqft
Immadihalli,90.0 Lac,3 BHK Flat for sale in Immadihalli,1512 sqft
Electronic City,38.0 Lac,2 BHK 1010 Sq-ft Flat/Apartment for Sale in Electronic City,1010 sqft
Kengeri Satellite Town,42.0 Lac,2 BHK Flat for sale in Kengeri Satellite Town,887 sqft
Varthur,67.0 Lac,3 BHK 1275 Sq-ft Flat/Apartment for Sale in Varthur,1275 sqft
Yadavanahalli,34.0 Lac,2 BHK 1150 Sq-ft Flat/Apartment for Sale in Yadavanahalli,1150 sqft
Kalkere,70.0 Lac,2 BHK Flat for sale in Kalkere,1240 sqft
Bommanahalli,1.50 Cr,3 BHK Flat for sale in Bommanahalli,1450 sqft
Jagajyothi Layout,2.0 Cr,5 BHK Residential House,1200 sqft
Unknown,100.0 Lac,3 BHK Penthouse,2000 sqft
Babusahib Palya,75.0 Lac,3 BHK Flat for sale in Babusahib Palya,1200 sqft
Siddapur,2.0 Cr,4 BHK Flat for sale in Siddapur,2610 sqft
Electronic City,2.20 Cr,4 BHK Villa,2420 sqft
Yelahanka New Town,47.0 Lac,3 BHK 1075 Sq-ft Flat/Apartment for Sale in Yelahanka New Town,1075 sqft
Ramamurthy Nagar,48.0 Lac,2 BHK 1000 Sq-ft Flat/Apartment for Sale in Ramamurthy Nagar,1000 sqft
Yelahanka Dodda Ballapur Road,69.0 Lac,3 BHK 1380 Sq-ft Flat/Apartment for Sale in Yelahanka Dodda Ballapur Road,1380 sqft
Ramamurthy Nagar,72.5 Lac,2 BHK Flat for sale in Ramamurthy Nagar,965 sqft
Unknown,53.0 Lac,2 BHK Flat,1054 sqft
